Natural Language Query;Metrics;Dimensions;Filters;Date Ranges
Transmíteme el costo por clic de los anuncios por Primer ID de renderización de CM360 del usuario limitado a usuarios activos que tenga el valor de 31193 del periodo del 5 de abril de 2010 al 2 de enero de 2012.;firstUserCm360RenderingId;advertiserAdCostPerClick;activeUsers == 31193;2010-04-05,2012-01-02
Relátame los artículos vistos por Primer medio de SA360 del usuario condicionado a pais equivalente a Tailandia registrados en los últimos 7 días.;firstUserSa360Medium;itemsViewed;country == Thailand;last7days,last7days
Comunícame el promedio de ingresos de compras por usuario por Nombre de la campaña manual filtrado por tipo de dispositivo que tenga un valor de phone de 2009.;manualCampaignName;averagePurchaseRevenuePerUser;deviceCategory == phone;2009-01-01,2009-12-31
Preséntame los usuarios activos durante los últimos 7 días por Primer ID de la creatividad de DV360 del usuario donde tipo de dispositivo coincide con desktop durante el último mes.;firstUserDv360CreativeId;active7DayUsers;deviceCategory == desktop;lastCalendarMonth,lastCalendarMonth
Cuéntame los compradores totales por usuario nuevo por Nombre de host de usuarios activos que sea igual a 63946 registrados en las últimas 107 semanas.;hostName;firstTimePurchasersPerNewUser;activeUsers == 63946;107WeeksAgo,today
Notifícame los ingresos totales por Primer medio de CM360 del usuario restringido a usuarios activos que tenga un valor de 80704 a lo largo del día de ayer.;firstUserCm360Medium;totalRevenue;activeUsers == 80704;yesterday,yesterday
Aclara las vistas por usuario por Nombre del evento limitado a pais igual a Turquía desde 10 de junio de 2021 hasta 4 de abril de 2022.;eventName;screenPageViewsPerUser;country == Turkey;2021-06-10,2022-04-04
Infórmame los artículos pagados por Espacio para la creatividad de promoción del artículo restringido a usuarios activos con 61316 del periodo de septiembre de 2014 al periodo de octubre de 2020.;itemPromotionCreativeSlot;itemsCheckedOut;activeUsers == 61316;2014-09-01,2020-10-31
Háblame las vistas por Fecha y hora (AAAAMMDDHH) limitado a usuarios activos con 6721 en el último año.;dateHour;screenPageViews;activeUsers == 6721;lastCalendarYear,lastCalendarYear
Dime la primera conversión por compra por ID del primer grupo de anuncios de SA360 del usuario con tipo de dispositivo que sea desktop registrados en el mes de agosto de 2011.;firstUserSa360AdGroupId;firstTimePurchaserConversionRate;deviceCategory == desktop;2011-08-01,2011-08-31
Acota el recuento de eventos por Plataforma con pais que sea Albania desde octubre 2014 hasta noviembre 2023.;platform;eventCount;country == Albania;2014-10-01,2023-11-30
