Nombre de la API,Nombre de la IU,Descripción,Articulo
active1DayUsers,Usuarios activos durante 1 día,"Indica la cantidad de usuarios activos distintos en tu sitio o aplicación en un período de 1 día, El período de 1 día incluye el último día del período del informe. Nota: Es lo mismo que ""Usuarios activos"".",los
active28DayUsers,Usuarios activos durante los últimos 28 días,Indica la cantidad de usuarios activos distintos en tu sitio o aplicación en un período de 28 días. el cual incluye el último día del período del informe.,los
active7DayUsers,Usuarios activos durante los últimos 7 días,Indica la cantidad de usuarios activos distintos en tu sitio o aplicación en un período de 7 días. el cual incluye el último día del período del informe.,los
activeUsers,Usuarios activos,Indica la cantidad de usuarios distintos que visitaron su sitio o usaron su aplicación.,los
adUnitExposure,Exposición de la unidad de anuncios,"Es el tiempo durante el que una unidad de anuncios se expuso a un usuario, en milisegundos.",la
addToCarts,Agregar a carrito,Indica la cantidad de veces que los usuarios agregaron elementos a sus carritos de compras.,los
advertiserAdClicks,Clics en los anuncios,"Es la cantidad total de veces que los usuarios hicieron clic en un anuncio para llegar a la propiedad. Incluye los clics provenientes de integraciones vinculadas, como anunciantes vinculados de Search Ads 360. También incluye los clics subidos a través de la importación de datos.",los
advertiserAdCost,Costo de los anuncios,"Es el importe total que pagó por sus anuncios. Incluye los costos de integraciones vinculadas, como cuentas vinculadas de Google Ads. También incluye los costos subidos por la importación de datos. Para obtener más información, consulta Cómo importar datos de costos.",el
advertiserAdCostPerClick,Costo por clic de los anuncios,"El costo por clic de los anuncios es el costo del anuncio dividido por los clics en el anuncio y, a menudo, se abrevia como CPC.",el
advertiserAdCostPerConversion,Costo por conversión,El costo por conversión es el costo del anuncio dividido por las conversiones.,el
advertiserAdImpressions,Impresiones de anuncios,"Es la cantidad total de impresiones. Incluye impresiones de integraciones vinculadas, como anunciantes vinculados de Display & Video 360. También incluye las impresiones subidas de la importación de datos.",las
averagePurchaseRevenue,Promedio de ingresos por compras,Indica el promedio de ingresos por compras en el grupo de eventos de la transacción.,el
averagePurchaseRevenuePerPayingUser,ARPPU,Es el ingreso promedio por usuario que paga (ARPPU) y corresponde a los ingresos totales por compras por cada usuario activo que registró un evento de compra. La métrica de resumen corresponde al período seleccionado.,el
averagePurchaseRevenuePerUser,Promedio de ingresos de compras por usuario,Los ingresos promedio por compras por usuario activo son los ingresos totales de compras por usuario activo que registró cualquier evento. La métrica de resumen corresponde al período seleccionado.,el
averageRevenuePerUser,ARPU,"Indica el promedio de ingresos por usuario activo (ARPU). La métrica de resumen corresponde al período seleccionado. El ARPU usa los ingresos totales y, además, incluye los ingresos estimados de AdMob.",el
averageSessionDuration,Duración promedio de la sesión,Es la duración promedio (en segundos) de las sesiones de los usuarios.,la
bounceRate,Porcentaje de rebote,"Es el porcentaje de sesiones que no generaron participación (sesiones menos sesiones que generaron participación) dividido por sesiones. Esta métrica se muestra como una fracción. Por ejemplo, 0.2761 significa que el 27.61% de las sesiones fueron rebotes.",el
cartToViewRate,Relación de artículos agregados al carrito sobre vistas,"Es la cantidad de usuarios que agregaron un producto a su carrito dividida por la cantidad de usuarios que vieron el mismo producto. Esta métrica se muestra como una fracción. Por ejemplo, 0.1132 significa que el 11.32% de los usuarios que vieron un producto también agregaron el mismo producto a su carrito.",la
checkouts,Confirmaciones de compra,Indica la cantidad de veces que los usuarios iniciaron el proceso de confirmación de la compra. Esta métrica cuenta la cantidad de casos del evento begin_checkout.,las
cohortActiveUsers,Usuarios activos de la cohorte,"Indica la cantidad de usuarios en la cohorte que están activos en el período correspondiente a la cohorte de enésimo día, semana o mes. Por ejemplo, en la fila donde cohorteNthWeek = 0001, esta métrica es la cantidad de usuarios (en la cohorte) que están activos en la semana 1.",los
cohortTotalUsers,Total de usuarios de la cohorte,"Es la cantidad total de usuarios en la cohorte. Esta métrica es el mismo valor en todas las filas del informe para todas las cohortes. Como las cohortes se definen según una fecha de adquisición compartida, cohorteTotalUsers es igual a cohorteActiveUsers para el período de selección de la cohorte. En las filas del informe posteriores al rango de selección de la cohorte, es común que la cohorteActiveUsers sea más pequeña que la cohorteTotalUsers. Esta diferencia representa a los usuarios de la cohorte que no estaban activos para una fecha posterior. cohorteTotalUsers se usa comúnmente en la expresión de métrica cohorteActiveUsers/cohortTotalUsers para calcular una fracción de retención de usuarios para la cohorte. La relación entre activeUsers y totalUsers no es equivalente a la relación entre cohorteActiveUsers y cohorteTotalUsers.",el
conversions,Conversiones,"Es el registro de eventos de conversión. Los eventos se marcan como conversiones en el momento de la recopilación. A partir de ese momento, se aplican los cambios que se realicen en la marca de conversiones de un evento. Puedes marcar cualquier evento como conversión en Google Analytics, y algunos eventos (es decir, first_open y purchase) se marcan como conversiones de forma predeterminada. Para obtener más información, consulta el artículo Acerca de las conversiones.",las
crashAffectedUsers,Usuarios afectados por fallas,"La cantidad de usuarios que registraron una falla en esta fila del informe. Por ejemplo, si el informe es una serie temporal por fecha, esta métrica informa el total de usuarios con al menos una falla en esta fecha. Las fallas son eventos llamados ""app_exception"".",los
crashFreeUsersRate,Tasa de usuarios que no experimentaron fallas,"La cantidad de usuarios sin eventos de fallas (en esta fila del informe) dividida por la cantidad total de usuarios. Esta métrica se muestra como una fracción. Por ejemplo, 0.9243 significa que el 92.43% de los usuarios no experimentaron fallas.",la
dauPerMau,DAU/MAU,"Es el porcentaje continuo de usuarios activos de 30 días que también son usuarios activos de 1 día. Esta métrica se muestra como una fracción. Por ejemplo, 0.113 significa que el 11.3% de los usuarios activos durante 30 días también fueron usuarios activos durante 1 día.",el
dauPerWau,DAU/WAU,"Es el porcentaje continuo de usuarios activos de 7 días que también son usuarios activos de 1 día. Esta métrica se muestra como una fracción. Por ejemplo, 0.082 significa que el 8.2% de los usuarios activos durante 7 días también fueron usuarios activos durante 1 día.",el
ecommercePurchases,Compras de comercio electrónico,"Indica la cantidad de veces que los usuarios completaron una compra. Esta métrica cuenta los eventos de purchase, mientras que no registra los eventos de in_app_purchase ni de suscripción.",las
engagedSessions,Sesiones que generaron participación,"Indica la cantidad de sesiones que duraron más de 10 segundos, tuvieron un evento de conversión o tuvieron 2 o más vistas de pantalla.",las
engagementRate,Tasa de participación,"Es el porcentaje de sesiones que generaron participación (sesiones que generaron participación divididas por sesiones). Esta métrica se muestra como una fracción. Por ejemplo, 0.7239 significa que el 72.39% de las sesiones fueron sesiones que generaron participación.",la
eventCount,Recuento de eventos,Es la cantidad de eventos.,el
eventCountPerUser,Recuento de eventos por usuario,Es la cantidad promedio de eventos por usuario (el recuento de eventos dividido por la cantidad de usuarios activos).,el
eventValue,Valor de evento,La suma del parámetro de evento llamado value.,el
eventsPerSession,Eventos por sesión,Es la cantidad promedio de eventos por sesión (el recuento de eventos dividido por la cantidad de sesiones).,los
firstTimePurchaserConversionRate,Primera conversión por compra,"Es el porcentaje de usuarios activos que hicieron su primera compra. Esta métrica se muestra como una fracción. Por ejemplo, 0.092 significa que el 9.2% de los usuarios activos fueron compradores nuevos.",la
